CCTV,#genre#
CCTV3,http://124.90.45.52:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0#http://125.125.134.245:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.77.157.82:4002/rtp/239.253.254.191:8000#http://39.77.25.64:4002/rtp/239.253.254.191:8000#http://39.77.95.74:4002/rtp/239.253.254.191:8000#http://39.77.160.56:4002/rtp/239.253.254.191:8000#http://60.4.28.155:8077/rtp/239.253.92.191:6057#http://120.202.73.48:8888/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://113.119.24.121:58888/udp/239.77.0.169:5146#http://112.109.206.238:9999/rtp/239.255.40.195:8208
CCTV8,http://222.136.68.253:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0#http://1.24.39.180:808/hls/8/index.m3u8#http://112.109.206.238:9999/rtp/239.255.40.197:8208#http://39.77.25.64:4002/rtp/239.253.254.194:8000#http://171.8.168.12:8800/rtp/239.16.20.8:10080#http://115.171.216.26:4000/rtp/225.1.8.85:8000#http://114.254.36.109:18888/rtp/239.3.1.175:8001$北京市联通#http://120.202.73.48:8888/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0#http://124.112.240.102:4022/rtp/238.1.78.173:7256#http://61.178.227.57:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://39.77.25.64:4002/rtp/239.253.254.186:8000#http://39.77.95.74:4002/rtp/239.253.254.186:8000#http://39.77.95.74:4002/rtp/239.253.254.111:8000#http://39.77.95.74:4002/rtp/239.253.254.187:8000#http://39.77.25.64:4002/rtp/239.253.254.111:8000#http://221.220.133.100:8012/rtp/239.3.1.105:8092#http://39.77.160.56:4002/rtp/239.253.254.186:8000#http://39.77.160.56:4002/rtp/239.253.254.111:8000#http://112.109.206.238:9999/rtp/239.255.40.198:8208#http://120.202.73.48:8888/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://124.90.45.52:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.77.157.82:4002/rtp/239.253.254.77:8000#http://39.77.160.56:4002/rtp/239.253.254.77:8000#http://39.77.95.74:4002/rtp/239.253.254.77:8000#http://221.220.133.100:8012/rtp/239.3.1.129:8008#http://39.77.25.64:4002/rtp/239.253.254.77:8000#http://60.4.28.155:8077/rtp/239.253.92.83:8012#http://1.24.39.180:808/hls/1/index.m3u8#http://112.109.206.238:9999/rtp/239.255.40.35:8208#http://120.202.73.48:8888/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://14.118.74.55:10001/rtp/239.77.0.171:5146#http://1.24.39.180:808/hls/6/index.m3u8#http://114.254.36.109:18888/rtp/239.3.1.174:8001$北京市联通#http://111.196.132.71:20000/rtp/239.3.1.174:8001#http://113.119.24.121:58888/udp/239.77.0.171:5146#http://61.191.144.238:5800/rtp/238.1.78.172:7248#http://171.8.168.12:8800/rtp/239.16.20.6:10060#http://222.223.41.27:8888/hls/6/index.m3u8#http://61.178.227.57:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://125.125.134.245:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://124.90.45.52:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.77.157.82:4002/rtp/239.253.254.232:8000#http://39.77.160.56:4002/rtp/239.253.254.232:8000#http://39.77.25.64:4002/rtp/239.253.254.232:8000#http://112.109.206.238:9999/rtp/239.255.40.36:8208#http://60.4.28.155:8077/rtp/239.253.92.190:6065#http://1.24.39.180:808/hls/2/index.m3u8#http://123.118.53.151:8686/rtp/239.3.1.60:8084#http://39.77.95.74:4002/rtp/239.253.254.232:8000#http://114.100.195.11:4022/rtp/238.1.78.235:7752$安徽电信
CCTV5,http://39.77.95.74:4002/rtp/239.253.254.192:8000#http://112.109.206.238:9999/rtp/239.255.40.34:8208#http://112.109.206.238:9999/rtp/239.255.40.196:8208#http://120.202.73.48:8888/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0#http://114.100.195.11:4022/rtp/238.1.78.171:7240$安徽电信#http://121.29.215.217:2083/rtp/239.253.92.82:8013#http://114.254.36.109:18888/rtp/239.3.1.173:8001$北京市联通#http://1.24.39.180:808/hls/5/index.m3u8#http://121.29.215.217:2083/rtp/239.253.92.181:6046#http://114.254.36.109:18888/rtp/239.3.1.130:8004$北京市联通
CCTV11,http://1.24.39.180:808/hls/11/index.m3u8#http://112.109.206.238:9999/rtp/239.255.40.2:8208#http://120.202.73.48:8888/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0#http://222.136.68.253:9901/tsfile/live/1047_1.m3u8?key=txiptv&playlive=1&authid=0#http://114.100.195.11:4022/rtp/238.1.78.206:7502$安徽电信#http://111.127.156.3:51234/rtp/239.29.0.205:5000#http://222.223.41.27:8888/hls/11/index.m3u8#http://171.8.168.12:8800/rtp/239.16.20.11:10110#http://113.241.133.180:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.65.162.224:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://120.202.73.48:8888/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0#http://112.109.206.238:9999/rtp/239.255.40.39:8208#http://114.254.36.109:18888/rtp/239.3.1.63:8116$北京市联通#http://111.196.132.71:20000/rtp/239.3.1.63:8116#http://1.24.39.180:808/hls/10/index.m3u8#http://111.127.156.3:51234/rtp/239.29.0.119:5000#http://114.254.84.173:8888/rtp/239.3.1.63:8116#http://222.223.41.27:8888/hls/10/index.m3u8#http://124.90.45.52:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.178.227.57:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://124.90.45.52:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://1.24.39.180:808/hls/7/index.m3u8#http://112.109.206.238:9999/rtp/239.255.40.37:8208#http://114.254.36.109:18888/rtp/239.3.1.61:8104$北京市联通#http://115.171.216.26:4000/rtp/225.1.8.7:8104#http://61.178.227.57:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://114.100.195.11:4022/rtp/238.1.78.239:7784$安徽电信#http://222.223.41.27:8888/hls/7/index.m3u8#http://120.202.73.48:8888/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://120.226.246.71:9901/tsfile/live/0007_2.m3u8?key=txiptv&playlive=1&down=1
CCTV9,http://120.202.73.48:8888/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0#http://60.4.28.155:8077/rtp/239.253.92.107:6020#http://124.90.45.52:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#http://114.254.36.109:18888/rtp/239.3.1.62:8112$北京市联通#http://112.109.206.238:9999/rtp/239.255.40.38:8208#http://118.248.155.66:8889/udp/239.76.253.159:9000#http://114.100.195.11:4022/rtp/238.1.78.240:7792$安徽电信#http://222.223.41.27:8888/hls/9/index.m3u8#http://1.24.39.180:808/hls/9/index.m3u8#http://171.8.168.12:8800/rtp/239.16.20.9:10090
CCTV15,http://112.109.206.238:9999/rtp/239.255.40.4:8208#http://120.202.73.48:8888/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0#http://1.24.39.180:808/hls/15/index.m3u8#http://125.125.134.245:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.202.94.181:9446/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0#http://114.100.195.11:4022/rtp/238.1.78.222:7648$安徽电信#http://111.196.132.71:20000/rtp/239.3.1.153:8136#http://111.127.156.3:51234/rtp/239.29.0.206:5000#http://113.241.133.180:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0#http://222.223.41.27:8888/hls/15/index.m3u8
CCTV14,http://120.202.73.48:8888/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0#http://171.8.168.12:8800/rtp/239.16.20.14:10140#http://111.196.132.71:20000/rtp/239.3.1.65:8132#http://114.254.36.109:18888/rtp/239.3.1.65:8132$北京市联通#http://49.77.31.239:8554/rtp/239.49.8.136:6000#http://120.202.94.181:9446/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0#https://event.pull.hebtv.com/jishi/cp2.m3u8#http://114.238.59.183:4000/rtp/239.49.8.136:6000#http://112.109.206.238:9999/rtp/239.255.40.41:8208#http://125.125.134.245:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8#https://event.pull.hebtv.com/jishi/cp1.m3u8#http://120.202.73.48:8888/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0#http://112.109.206.238:9999/rtp/239.255.40.3:8208#http://114.254.36.109:18888/rtp/239.3.1.124:8128$北京市联通#http://1.24.39.180:808/hls/13/index.m3u8#http://121.29.215.217:2083/rtp/239.253.92.13:8008#http://118.248.155.66:8889/udp/239.76.251.84:9000#http://111.127.156.3:51234/rtp/239.29.1.123:5000#http://171.8.168.12:8800/rtp/239.16.20.13:10130
CCTV12,http://112.109.206.238:9999/rtp/239.255.40.40:8208#http://120.202.73.48:8888/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0#http://123.118.53.151:8686/rtp/239.3.1.64:8124#http://171.8.168.12:8800/rtp/239.16.20.12:10120#http://1.24.39.180:808/hls/12/index.m3u8#http://114.100.195.11:4022/rtp/238.1.78.242:7808$安徽电信#http://118.248.155.66:8889/udp/239.76.246.162:1234#http://114.254.36.109:18888/rtp/239.3.1.64:8124$北京市联通#http://49.77.31.239:8554/rtp/239.49.8.55:9822#http://222.223.41.27:8888/hls/12/index.m3u8
CCTV20241,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV17,http://114.100.195.11:4022/rtp/238.1.78.178:7296$安徽电信#http://111.196.132.71:20000/rtp/239.3.1.151:8144#http://1.24.39.180:808/hls/61/index.m3u8#http://171.8.168.12:8800/rtp/239.16.20.7:10070#http://114.238.59.183:4000/rtp/239.49.8.132:6000#http://111.127.156.3:51234/rtp/239.29.1.145:5000#http://114.254.36.109:18888/rtp/239.3.1.151:8144$北京市联通#http://61.178.227.57:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.178.227.57:9901/tsfile/live/0142_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://39.77.160.56:4002/rtp/239.253.254.168:8000
CCTV16,http://1.24.39.180:808/hls/60/index.m3u8#http://118.248.155.66:8889/udp/239.76.253.230:9000#http://111.196.132.71:20000/rtp/239.3.1.184:8001#http://114.254.36.109:18888/rtp/239.3.1.184:8001$北京市联通#http://112.109.206.238:9999/rtp/239.255.40.194:8208#http://111.127.156.3:51234/rtp/239.29.1.146:5000#http://123.118.53.173:8686/rtp/239.3.1.184:8001#http://113.119.24.121:58888/udp/239.77.0.165:5146
CCTV央视台球,http://36.49.53.138:8800/rtp/239.37.0.163:5540#http://121.29.215.217:2083/rtp/239.253.93.231:6409
卫视,#genre#
云南卫视,http://222.136.68.253:9901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0#http://125.125.134.245:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0#http://kouki.pro:8888/rtp/239.49.0.177:8000?#http://171.8.168.12:8800/rtp/239.16.20.85:10850#http://120.202.73.48:8888/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0#http://202.105.239.77:8188/rtp/239.253.43.100:5146#http://124.90.45.52:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0#http://120.198.95.220:9901/tsfile/live/1007_1.m3u8?key=txiptv#http://119.62.24.75:50085/tsfile/live/0018_2.m3u8?key=txiptv&playlive=0&authid=0#http://119.62.24.75:50085/tsfile/live/0018_2.m3u8?key=txiptv&playlive=0&authid=0&replay=1&days=7
上海卫视,http://125.125.134.245:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://114.242.62.109:888/hls/36/index.m3u8#http://zczb.aylzline.top:8899/rtp/225.1.2.98:10582#http://61.178.227.57:9901/tsfile/live/0115_1.m3u8?key=txiptv&playlive=1&authid=0#http://61.178.227.57:9901/tsfile/live/0115_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0#http://222.136.68.253:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0#http://111.127.156.3:51234/rtp/239.29.1.34:5001#http://114.100.195.11:4022/rtp/238.1.78.104:6704$安徽电信#http://124.112.240.102:4022/rtp/238.1.78.104:6704
北京卫视,http://114.100.195.11:4022/rtp/238.1.78.162:7168$安徽电信#http://125.125.134.245:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0#http://joyznm.i234.me:20000/rtp/239.3.1.241:8000?#http://221.220.133.100:8012/rtp/239.3.1.241:8000#http://120.202.73.48:8888/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0#http://60.4.28.155:8077/rtp/239.253.92.87:8014#http://124.228.160.176:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0#http://123.118.53.151:8686/rtp/239.3.1.241:8000#http://114.254.84.173:8888/rtp/239.3.1.241:8000#http://114.254.36.109:18888/rtp/239.3.1.241:8000$北京市联通
卫视,http://222.136.68.253:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://joyznm.i234.me:20000/rtp/239.3.1.211:8064?#http://60.4.28.155:8077/rtp/239.253.92.209:6566#http://kouki.pro:8888/rtp/239.49.8.80:8000?#http://n2.192372.xyz:8888/rtp/239.3.1.211:8064?#http://171.8.168.12:8800/rtp/239.16.20.75:10750#http://125.125.134.245:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0#http://zczb.aylzline.top:8899/rtp/225.1.2.88:10522#http://114.254.36.109:18888/rtp/239.3.1.211:8064$北京市联通#http://yhms.aylzline.top:8899/rtp/225.1.2.88:10522#http://120.202.73.48:8888/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.151:10924#http://114.254.36.109:18888/rtp/239.3.1.142:8048$北京市联通#http://120.202.73.48:8888/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0#http://www.yahao.host:4022/udp/239.77.0.84:5146#http://120.202.94.181:9446/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0#http://125.125.134.245:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0#http://113.119.24.121:58888/udp/239.77.0.166:5146#http://113.119.24.121:58888/udp/239.77.1.152:5146#http://113.119.24.121:58888/udp/239.77.1.19:5146#http://222.223.41.27:8888/hls/45/index.m3u8
江苏卫视,http://120.202.73.48:8888/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0#http://120.202.94.181:9446/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0#http://125.125.134.245:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0#http://111.196.132.71:20000/rtp/239.3.1.135:8028#http://kouki.pro:8888/rtp/239.49.8.16:9602?#http://114.254.36.109:18888/rtp/239.3.1.135:8028$北京市联通#http://114.100.195.11:4022/rtp/238.1.78.165:7192$安徽电信#http://222.223.41.27:8888/hls/29/index.m3u8#http://111.127.156.3:51234/rtp/239.29.0.102:5000#http://49.77.31.239:8554/rtp/239.49.8.138:6000
旅游卫视,http://125.125.134.245:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://lysj.aylzline.top:8899/rtp/225.1.2.87:10516#http://zczb.aylzline.top:8899/rtp/225.1.2.87:10516#http://120.202.73.48:8888/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0#http://joyznm.i234.me:20000/rtp/239.3.1.141:1234?#http://60.4.28.155:8077/rtp/239.253.92.91:8021#http://114.254.36.109:18888/rtp/239.3.1.141:1234$北京市联通#http://114.100.195.11:4022/rtp/238.1.78.20:6088$安徽电信#http://171.8.168.12:8800/rtp/239.16.20.96:10960#http://202.105.239.77:8188/rtp/239.77.1.141:5146#http://n2.192372.xyz:8888/rtp/239.3.1.141:1234?
河南卫视,http://222.136.68.253:9901/tsfile/live/1053_1.m3u8?key=txiptv&playlive=1&authid=0#http://60.4.28.155:8077/rtp/239.253.92.137:6144#http://kouki.pro:8888/rtp/239.49.8.29:8000?#http://lysj.aylzline.top:8899/rtp/225.1.2.99:10588#http://lysj.aylzline.top:8899/rtp/225.1.2.237:11530#http://120.226.246.71:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&down=1#http://222.223.41.27:8888/hls/36/index.m3u8#http://171.8.168.12:8800/rtp/239.16.20.21:10210#http://111.127.156.3:51234/rtp/239.29.1.69:5001#http://125.125.134.245:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://60.4.28.155:8077/rtp/239.253.92.16:6043#http://114.100.195.11:4022/rtp/238.1.78.30:6168$安徽电信#http://120.202.73.48:8888/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0#http://222.223.41.27:8888/hls/37/index.m3u8#http://171.8.168.12:8800/rtp/239.16.20.86:10860#http://111.127.156.3:51234/rtp/239.29.0.100:5000#http://zczb.aylzline.top:8899/rtp/225.1.2.108:11626#http://61.178.227.57:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0#http://123.118.53.151:8686/rtp/239.3.1.29:8288#http://39.77.95.74:4002/rtp/239.253.254.180:8000
江西卫视,http://114.100.195.11:4022/rtp/238.1.78.26:6136$安徽电信#http://kouki.pro:8888/rtp/239.49.8.111:8000?#http://111.196.132.71:20000/rtp/239.3.1.123:8164#http://114.254.36.109:18888/rtp/239.3.1.123:8164$北京市联通#http://61.191.144.238:5800/rtp/238.1.78.26:6136#http://49.77.31.239:8554/rtp/239.49.8.185:6000#http://222.223.41.27:8888/hls/38/index.m3u8#http://124.114.101.179:6789/rtp/239.111.205.16:5140#http://115.171.216.26:4000/udp/225.1.8.171:8166#http://171.8.168.12:8800/rtp/239.16.20.89:10890
